Asin,Timestamp,Pincode,City,Seller,Price
B00C5HU7JA,3/25/2025 15:06,400097,mumbai,Global Mart India,"4,897"
B000HDV7YS,3/25/2025 15:06,400097,mumbai,Global Mart India,"4,146"
B002CQU54Q,3/25/2025 15:06,400097,mumbai,Global Mart India,"7,355"
B004UJCIZM,3/25/2025 15:06,400097,mumbai,DR TNG ENTERPRISES,"4,750"
B000PSX1SA,3/25/2025 15:06,400097,mumbai,DR TNG ENTERPRISES,"3,350"
B002CQU4ZG,3/25/2025 15:06,400097,mumbai,IGNITE ENTERPRISE,"2,999"
B003DYQ59U,3/25/2025 15:06,400097,mumbai,Global Mart India,"3,225"
B000H3VC0W,3/25/2025 15:06,400097,mumbai,DR TNG ENTERPRISES,"2,620"
B0014FUQ1S,3/25/2025 15:06,400097,mumbai,Global Mart India,"4,897"
B07FD9R43P,3/25/2025 15:06,400097,mumbai,Global Mart India,"10,820"
B002CQU532,3/25/2025 15:07,400097,mumbai,Pappy Mart,"8,082"
B074H7PLSV,3/25/2025 15:07,400097,mumbai,no_buy_box,
B004T7DYOO,3/25/2025 15:07,400097,mumbai,Global Mart India,"9,419"
B002WTCLHW,3/25/2025 15:07,400097,mumbai,Global Mart India,"5,785"
B0096M5PBW,3/25/2025 15:07,400097,mumbai,DR TNG ENTERPRISES,"5,350"
B004O8I7JA,3/25/2025 15:07,400097,mumbai,Global Mart India,"4,659"
B002C3THZW,3/25/2025 15:07,400097,mumbai,no_buy_box,
B002WTCLGI,3/25/2025 15:07,400097,mumbai,no_buy_box,
B002WTCLHC,3/25/2025 15:07,400097,mumbai,no_buy_box,
B002CQU58W,3/25/2025 15:07,400097,mumbai,Global Mart India,"6,422"
B002WTCM3K,3/25/2025 15:07,400097,mumbai,Global Mart India,"5,576"
B002CQU50U,3/25/2025 15:08,400097,mumbai,Global Mart India,"6,631"
B0006GZE1S,3/25/2025 15:08,400097,mumbai,Global Mart India,"4,389"
B002CQU58M,3/25/2025 15:08,400097,mumbai,Global Mart India,"3,098"
B002CQU53C,3/25/2025 15:08,400097,mumbai,no_buy_box,
B002CQU55K,3/25/2025 15:08,400097,mumbai,Global Mart India,"7,034"
