Asin,Timestamp,Pincode,City,Seller,Price,coupon_text
B000PSX1SA,2025-03-26 16:41:37,110001,delhi,IGNITE ENTERPRISE,"3,250",no discount
B002CQU4ZG,2025-03-26 16:41:43,110001,delhi,IGNITE ENTERPRISE,"2,999",no discount
B003DYQ59U,2025-03-26 16:41:48,110001,delhi,Global Mart India,"3,225",₹50 coupon Terms
B000H3VC0W,2025-03-26 16:41:54,110001,delhi,DR TNG ENTERPRISES,"2,620",no discount
B0014FUQ1S,2025-03-26 16:41:59,110001,delhi,M&S NUTRITION,"4,867",₹66 coupon Terms
B07FD9R43P,2025-03-26 16:42:05,110001,delhi,Global Mart India,"10,820",1% coupon Terms
B002CQU532,2025-03-26 16:42:10,110001,delhi,no_buy_box,,
B074H7PLSV,2025-03-26 16:42:15,110001,delhi,no_buy_box,,
B004T7DYOO,2025-03-26 16:42:20,110001,delhi,Global Mart India,"9,419",no discount
B002WTCLHW,2025-03-26 16:42:26,110001,delhi,Global Mart India,"5,785",1% coupon Terms
B0096M5PBW,2025-03-26 16:42:31,110001,delhi,Global Mart India,"5,153",no discount
B004O8I7JA,2025-03-26 16:42:37,110001,delhi,THE VIBRANT VISAGE,"4,802",no discount
B002C3THZW,2025-03-26 16:42:42,110001,delhi,no_buy_box,,
B002WTCLGI,2025-03-26 16:42:47,110001,delhi,Global Mart India,"5,657",no discount
B002WTCLHC,2025-03-26 16:42:53,110001,delhi,Global Mart India,"8,944",no discount
B002CQU58W,2025-03-26 16:42:59,110001,delhi,Global Mart India,"6,422",no discount
B002WTCM3K,2025-03-26 16:43:04,110001,delhi,Global Mart India,"9,618",no discount
B002CQU50U,2025-03-26 16:43:10,110001,delhi,Global Mart India,"6,631",1% coupon Terms
B0006GZE1S,2025-03-26 16:43:15,110001,delhi,Global Mart India,"4,389",1% coupon Terms
B002CQU58M,2025-03-26 16:43:21,110001,delhi,Global Mart India,"3,098",1% coupon Terms
B002CQU53C,2025-03-26 16:43:26,110001,delhi,no_buy_box,,
B002CQU55K,2025-03-26 16:43:31,110001,delhi,Global Mart India,"7,034",1% coupon Terms
B002CQU596,2025-03-26 16:43:36,110001,delhi,Global Mart India,"6,422",no discount
B004LSFKVG,2025-03-26 16:43:42,110001,delhi,Global Mart India,"1,662",no discount
B004GEWJVE,2025-03-26 16:43:47,110001,delhi,Global Mart India,"4,605",no discount
B00U1V8HO4,2025-03-26 16:43:52,110001,delhi,no_buy_box,,
